heuristic,map_id,start_pos,end_pos,path_length,total_cost,execution_time,path_found,nodes_explored,heuristic_calls
Euclidea,703323,"(287, 190)","(169, 164)",0,inf,0.5727026462554932,False,25235,25235
Manhattan,703323,"(287, 190)","(169, 164)",0,inf,0.702692985534668,False,29474,29474
Chebyshev,703323,"(287, 190)","(169, 164)",0,inf,0.52248215675354,False,24696,24696
Euclidea,703323,"(49, 286)","(79, 197)",162,391.23545800272234,0.10702395439147949,True,4425,4709
Manhattan,703323,"(49, 286)","(79, 197)",162,391.23545800272234,0.08909726142883301,True,4120,4380
Chebyshev,703323,"(49, 286)","(79, 197)",162,391.23545800272234,0.1008610725402832,True,4629,4922
Euclidea,703323,"(258, 142)","(276, 379)",0,inf,0.6033329963684082,False,26024,26024
Manhattan,703323,"(258, 142)","(276, 379)",0,inf,0.8399279117584229,False,38664,38664
Chebyshev,703323,"(258, 142)","(276, 379)",0,inf,0.5490009784698486,False,25640,25640
Euclidea,703323,"(283, 244)","(93, 157)",289,667.0261729742099,0.36363983154296875,True,15687,15860
Manhattan,703323,"(283, 244)","(93, 157)",289,667.0261729742099,0.41257739067077637,True,19084,19272
Chebyshev,703323,"(283, 244)","(93, 157)",289,667.0261729742099,0.3468947410583496,True,16261,16442
Euclidea,703323,"(194, 141)","(251, 259)",156,423.5880911325571,0.1820974349975586,True,7774,8069
Manhattan,703323,"(194, 141)","(251, 259)",156,423.5880911325571,0.16712498664855957,True,7833,8056
Chebyshev,703323,"(194, 141)","(251, 259)",156,423.5880911325571,0.17427349090576172,True,8194,8465
Euclidea,703323,"(99, 219)","(67, 227)",36,92.64553102213571,0.025995731353759766,True,1118,1209
Manhattan,703323,"(99, 219)","(67, 227)",36,92.64553102213571,0.034296512603759766,True,1506,1621
Chebyshev,703323,"(99, 219)","(67, 227)",36,92.64553102213574,0.024998903274536133,True,1143,1209
Euclidea,703323,"(283, 241)","(134, 223)",349,771.3494665343305,0.4268348217010498,True,18640,18932
Manhattan,703323,"(283, 241)","(134, 223)",349,771.7573619522926,0.45812559127807617,True,21550,21844
Chebyshev,703323,"(283, 241)","(134, 223)",349,771.3494665343306,0.4128556251525879,True,19453,19729
Euclidea,703323,"(263, 173)","(72, 410)",0,inf,0.6023027896881104,False,26334,26334
Manhattan,703323,"(263, 173)","(72, 410)",0,inf,0.8115580081939697,False,37322,37322
Chebyshev,703323,"(263, 173)","(72, 410)",0,inf,0.5502109527587891,False,25670,25670
Euclidea,703323,"(54, 181)","(263, 374)",0,inf,0.5922484397888184,False,25634,25634
Manhattan,703323,"(54, 181)","(263, 374)",0,inf,0.7491233348846436,False,34485,34485
Chebyshev,703323,"(54, 181)","(263, 374)",0,inf,0.5388526916503906,False,25178,25178
Euclidea,703323,"(128, 182)","(62, 382)",0,inf,0.593956708908081,False,25958,25958
Manhattan,703323,"(128, 182)","(62, 382)",0,inf,0.8147077560424805,False,37326,37326
Chebyshev,703323,"(128, 182)","(62, 382)",0,inf,0.5488193035125732,False,25426,25426
Euclidea,703372,"(137, 406)","(183, 462)",99,282.17779005649214,0.08773183822631836,True,3772,3923
Manhattan,703372,"(137, 406)","(183, 462)",99,282.17779005649214,0.07574605941772461,True,3580,3763
Chebyshev,703372,"(137, 406)","(183, 462)",99,282.17779005649214,0.07951521873474121,True,3840,3974
Euclidea,703372,"(165, 389)","(139, 47)",353,847.9182273685026,0.43030714988708496,True,19201,19365
Manhattan,703372,"(165, 389)","(139, 47)",353,847.9182273685026,0.40193676948547363,True,19449,19697
Chebyshev,703372,"(165, 389)","(139, 47)",353,847.9182273685026,0.4077475070953369,True,19309,19469
Euclidea,703372,"(151, 355)","(149, 407)",53,111.81448211979614,0.01848578453063965,True,802,935
Manhattan,703372,"(151, 355)","(149, 407)",53,111.81448211979614,0.016188621520996094,True,691,803
Chebyshev,703372,"(151, 355)","(149, 407)",53,111.81448211979614,0.019222497940063477,True,841,978
Euclidea,703372,"(139, 344)","(177, 388)",86,238.122547187134,0.0717630386352539,True,3067,3271
Manhattan,703372,"(139, 344)","(177, 388)",86,238.122547187134,0.06056046485900879,True,2872,3090
Chebyshev,703372,"(139, 344)","(177, 388)",86,238.122547187134,0.0658113956451416,True,3153,3358
Euclidea,703372,"(156, 336)","(141, 388)",58,162.09927603096014,0.0545353889465332,True,2325,2522
Manhattan,703372,"(156, 336)","(141, 388)",58,162.09927603096014,0.04460954666137695,True,2117,2328
Chebyshev,703372,"(156, 336)","(141, 388)",58,162.09927603096014,0.05248618125915527,True,2441,2634
Euclidea,703372,"(194, 179)","(121, 470)",352,821.1898705873126,0.40500950813293457,True,18123,18312
Manhattan,703372,"(194, 179)","(121, 470)",352,821.1898705873126,0.3780670166015625,True,18279,18486
Chebyshev,703372,"(194, 179)","(121, 470)",352,821.1898705873126,0.3758847713470459,True,18189,18370
Euclidea,703372,"(177, 65)","(148, 347)",337,831.348959769194,0.28563547134399414,True,12926,13110
